id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,logprice,neighbourhood_group_Brooklyn,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Bronx,room_type_Private room,room_type_Shared room
850148,1 ROOM IN AMAZING ARTIST NYC LOFT,2843998,Julie,40.7106,-73.96532,85,2,35,5/4/19,0.54,2,365,4.442651256,1,0,0,0,1,0
850198,"UES 1 br, 2 blocks from the Met ",4439578,Zs,40.77815,-73.95902,195,28,8,6/28/13,0.1,1,302,5.272999559,0,0,0,0,0,0
850338,Authentic Luxury Designed Loft,4440548,Thomas,40.71427,-73.94671,145,3,169,8/2/19,2.16,2,120,4.976733742,1,0,0,0,0,0
850435,Sunny Loft in Brooklyn next to Bedford L,4441020,Tara,40.71731,-73.95627,55,30,0,,0,1,188,4.007333185,1,0,0,0,0,0
850517,3 Bedroom Duplex/ 2 Baths and 2 LR,254846,Brendan,40.68646,-73.91313,289,3,38,5/20/19,0.5,4,352,5.666426688,1,0,0,0,0,0
850712,Cute Studio Greenwich Village NYC,4442608,Mario,40.73132,-73.99979,120,30,17,6/30/19,0.26,1,260,4.787491743,0,0,0,0,0,0
850943,ARTIST TRENDY NYC LOFT,2843998,Julie,40.71171,-73.96694,149,5,26,4/22/19,0.41,2,15,5.003946306,1,0,0,0,0,0
851130,Nice Furnished Short Term in NY,4444170,Tiziana,40.84764,-73.93875,100,1,31,10/8/18,0.4,1,364,4.605170186,0,0,0,0,0,1
851772,CHIC 1 BEDROOM IN MANHATTAN (UES),4445677,Ari,40.7704,-73.95024,166,1,15,9/6/14,0.19,1,217,5.111987788,0,0,0,0,0,0
851784,Designer's spacious Manhattan apt.,4446767,Ks & Eli,40.85016,-73.93178,99,3,109,8/3/19,1.45,1,308,4.59511985,0,0,0,0,0,0
852118,Spacious 3 Bedroom Prospect Brooklyn near subway,3259274,Hannah,40.67434,-73.95728,150,2,37,5/19/19,0.57,2,329,5.010635294,1,0,0,0,0,0
852632,Gowanis Urban Oasis,4451246,Raymond,40.66893,-73.99404,44,2,158,7/28/19,2.13,1,321,3.784189634,1,0,0,0,0,1
852949,INCREDIBLY LOCATED GREENWICH/WEST VILLAGE APT.!,4453107,Sandi,40.72977,-74.00164,195,2,14,7/21/19,0.21,1,76,5.272999559,0,0,0,0,0,0
853142,A Happy Place,4454372,Patricia,40.836,-73.94166,100,7,37,1/3/19,0.49,1,258,4.605170186,0,0,0,0,0,0
853549,Welcome Home! Prime N. Park Slope,314649,Nicole,40.67169,-73.97436,178,4,59,6/4/19,0.74,1,56,5.18178355,1,0,0,0,0,0
853900,Immaculate brand new one bedroom ,4459052,Dominique,40.76488,-73.9297,95,30,0,,0,1,4,4.553876892,0,1,0,0,0,0
854033,1 BR in large full floor apartment,4092307,Eddie,40.7123,-73.99946,100,5,8,4/21/19,0.11,1,3,4.605170186,0,0,0,0,1,0
854253,Great Lrg Apt next to Park/Subway,4461145,Cristian,40.6489,-73.96872,60,5,4,7/2/19,0.08,1,4,4.094344562,1,0,0,0,0,0
854521,"Room, Central Location, Priv. Entry",4463092,Samuel,40.80925,-73.95541,62,2,46,7/23/19,0.65,2,286,4.127134385,0,0,0,0,1,0
855462,1BR in Charming Downtown Apt,4469832,Stefan,40.72034,-73.98585,95,15,25,10/10/18,0.46,1,27,4.553876892,0,0,0,0,1,0
855549,"Have the 1st floor of a two floor duplex,",213020,Robert,40.79279,-73.97131,88,1,106,8/4/19,1.47,2,93,4.477336814,0,0,0,0,1,0
855919,Lovely Apt. in the heart of Harlem,4473860,Marina,40.80845,-73.94435,125,1,67,7/25/19,1.41,1,82,4.828313737,0,0,0,0,0,0
